번호_시군구명,업체명,소재지,신고일자,근로_수의사수
64 경주시,연성 동물병원,경상북도 경주시 안강읍 안강리 346번지 16호  ,2011-10-30,1
65 경주시,김병규동물병원,경상북도 경주시 시래동 365번지 1호  ,2012-02-02,1
66 경주시,반석동물병원,    ,2016-12-01,1
67 경주시,윤동물병원,경상북도 경주시 용강동 1384번지 삼환나우빌 107동 902호 ,2019-08-07,1
68 경주시,스마일동물의료센터,경상북도 경주시 황성동 1312번지  ,2020-05-25,0
69 경주시,공원옆 동물병원,    ,2016-12-23,1
70 경주시,경주축협동물병원(황성점),    ,2016-04-06,1
71 경주시,기분좋은 동물병원,경상북도 경주시 양남면 읍천리 44번지  ,2012-10-04,1
72 경주시,삼성동물병원,경상북도 경주시 안강읍 안강리 305번지 9호  ,2012-12-14,1
73 경주시,다돈동물병원,경상북도 경주시 안강읍 청령리 747번지 4호  ,2013-04-02,1
74 김천시,제일가축병원,경상북도 김천시 성내동 10번지 23호  ,1998-02-14,1
75 김천시,미래동물병원,경상북도 김천시 성내동 10번지 23호  ,2010-06-14,1
76 김천시,삼양가축병원,경상북도 김천시 평화동 245번지 12호  ,1998-02-14,1
77 김천시,우정 팜 크리닉,경상북도 김천시 평화동  ,1999-02-26,3
78 김천시,두산동물병원,경상북도 김천시 성내동 181번지 6호  ,1998-02-14,1
79 김천시,녹십자동물병원,경상북도 김천시 황금동 102번지 1호  ,2001-02-14,1
80 김천시,백두동물병원,경상북도 김천시 황금동 167번지 30호  ,2008-04-29,2
81 김천시,금오산낙농축협동물병원,경상북도 김천시 대광동 1088번지  ,2004-07-22,1
82 김천시,금오산낙협동물병원,경상북도 김천시 부곡동 395번지 3   호  ,2004-07-22,0
83 김천시,가람가축병원,경상북도 김천시 황금동 17번지 12호  ,1998-02-14,1
84 김천시,훈동물병원,경상북도 김천시 지좌동 440번지 37호  ,2020-08-11,1
85 김천시,김천축산농협 동물병원,경상북도 김천시 성내동 8번지 1호  ,2019-11-19,1
86 김천시,가야동물병원,경상북도 김천시 남산동 12번지 3호  ,2000-07-26,1
87 김천시,김천연합동물병원,경상북도 김천시 신음동 1313번지 대신휴먼시아 ,2015-06-12,2
88 김천시,율곡동물병원,경상북도 김천시 율곡동 780번지 율곡스퀘어Ⅲ ,2019-01-14,1
89 김천시,지수애완동물병원,경상북도 김천시 부곡동 1504번지  ,2001-01-09,1
