번호_시군구명,업체명,소재지,신고일자,근로_수의사수
289 청도군,우신동물병원,경상북도 청도군 금천면 동곡리 993번지  ,1981-09-09,1
290 청도군,창신동물병원,경상북도 청도군 매전면 동산리 240번지 4호 5통  ,1979-06-20,1
291 청도군,우리동물병원,경상북도 청도군 화양읍 범곡리 140번지 3호  ,2007-03-05,1
292 청도군,현 동물병원,    ,2012-07-10,1
293 청도군,현대동물병원,경상북도 청도군 청도읍 고수리 152번지 1호  ,2020-12-07,1
294 고령군,고령가축병원,경상북도 고령군 고령읍 헌문리 232번지  ,1970-07-24,1
295 고령군,진흥동물병원,경상북도 고령군 고령읍 지산리 217번지 1호  ,1991-12-07,1
296 고령군,대가야동물병원,경상북도 고령군 고령읍 지산리 232번지 21호  ,2003-03-18,1
297 고령군,고령성주축협동물병원,경상북도 고령군 고령읍 고아리 140번지 21호  ,2011-08-23,1
298 고령군,성산가축병원,경상북도 고령군 성산면 어곡리 11번지  ,1977-02-24,1
299 고령군,정수의과병원,경상북도 고령군 대가야읍 쾌빈리 6번지 1호 해동디오팰리스 ,1994-02-15,1
300 고령군,경북동물병원,경상북도 고령군 쌍림면 고곡리 257번지 7호  ,2021-03-11,1
301 고령군,유경동물병원,경상북도 고령군 성산면 득성리 175번지 6호  ,2015-09-10,1
302 고령군,한림산업동물병원,    ,2014-03-28,1
303 고령군,사랑동물병원,경상북도 고령군 고령읍 쾌빈리 6번지 1호  ,2011-08-31,1
304 고령군,라파동물병원,    ,2007-03-27,1
305 성주군,영남동물병원,경상북도 성주군 성주읍 경산리 165번지 5호 1통  ,1967-10-10,1
306 성주군,현대동물병원,경상북도 성주군 성주읍 성산리 68번지 8호  ,1990-09-21,1
307 성주군,청솔동물병원,경상북도 성주군 성주읍 예산리 344번지 6호 31통  ,1996-03-21,1
308 성주군,성주가축병원,경상북도 성주군 성주읍 경산리 718번지  ,1990-03-22,1
309 성주군,화성동물병원,경상북도 성주군 선남면 도성리 881번지 5호  ,2006-02-03,1
310 성주군,강주혁동물병원,경상북도 성주군 용암면 상언리 619번지 8호  ,2009-07-07,1
311 성주군,지누동물병원,경상북도 성주군 성주읍 예산리 855번지  ,2018-05-28,1
312 성주군,유은동물병원,경상북도 성주군 성주읍 백전리 718번지 미라벨A ,2018-05-28,1
313 칠곡군,제일가축병원,경상북도 칠곡군 왜관읍 왜관리 207번지 34호  ,1985-12-30,1
314 칠곡군,다솜동물병원,경상북도 칠곡군 왜관읍 왜관리 298번지 1호  ,2004-06-17,1
315 칠곡군,임프로동물병원,경상북도 칠곡군 가산면 석우리 576번지  ,2010-09-10,2
316 칠곡군,미래동물병원,경상북도 칠곡군 왜관읍 왜관리 376번지 3호  ,2009-10-01,1
317 칠곡군,석적동물병원,경상북도 칠곡군 석적읍 중리 90번지 3호  ,2012-06-15,1
318 칠곡군,왜관동물병원,경상북도 칠곡군 왜관읍 왜관리 210번지 107호  ,2012-09-10,1
319 칠곡군,DK동물병원,경상북도 칠곡군 동명면 금암리 1364번지 130호  ,2015-12-04,1
320 칠곡군,어울림 동물병원,경상북도 칠곡군 석적읍 중리 137번지 10호  ,2016-04-12,1
321 칠곡군,25세 동물병원,경상북도 칠곡군 왜관읍 석전리 536번지 8호  ,2021-05-18,1
322 칠곡군,임수의과병원,경상북도 칠곡군 가산면 송학리 224번지  ,2021-08-04,0
323 예천군,대관령 가축병원,경상북도 예천군 예천읍 남본리 222번지 139호  ,1984-04-02,1
324 예천군,예천축산농협 동물병원,경상북도 예천군 예천읍 청복리 842번지  ,1996-09-05,1
325 예천군,대심동물병원,경상북도 예천군 예천읍 서본리 72번지 3호  ,2007-09-04,1
326 예천군,손 동물병원,경상북도 예천군 풍양면 낙상리 146번지 13호  ,1994-03-24,1
327 예천군,조재환 동물병원,경상북도 예천군 예천읍 남본리 218번지 1호  ,1990-12-21,1
328 예천군,서울동물병원,경상북도 예천군 예천읍 남본리 222번지 77호 서울동물병원 ,1991-04-09,1
329 예천군,김윤곤 동물병원,경상북도 예천군 풍양면 낙상리 185-12 ,2016-04-01,1
330 예천군,한사랑동물병원,경상북도 예천군 예천읍 남본리 245번지 25호  ,2016-12-26,1
331 예천군,호명동물병원,경상북도 예천군 호명면 산합리 1412번지 에비뉴타워 203호 ,2018-12-28,1
332 예천군,신세계동물병원,경상북도 예천군 호명면 오천리 285번지 1호  ,2020-12-24,1
333 봉화군,봉화가축병원,경상북도 봉화군 봉화읍 내성리 353번지  ,1964-10-03,1
334 봉화군,김서필동물병원,경상북도 봉화군 봉화읍 내성리 242번지 9호  ,2007-04-11,1
335 봉화군,박동물병원,경상북도 봉화군 봉화읍 내성리 353번지 17호  ,2009-07-15,1
336 봉화군,영광동물병원,경상북도 봉화군 봉화읍 내성리 240번지 14호  ,2010-09-07,1
337 봉화군,내성동물병원,경상북도 봉화군 봉화읍 내성리 426번지 41호  ,2016-05-13,2
338 봉화군,국립백두대간수목원 동물병원,경상북도 봉화군 춘양면 서벽리 1422번지 12호  ,2017-07-18,1
339 울진군,울진동물병원,경상북도 울진군 울진읍 읍내리  ,2002-11-27,1
340 울진군,대구가축병원,경상북도 울진군 울진읍 읍내리 296번지 7호 스피드텔레콤 ,2002-11-27,1
341 울진군,킴스동물병원,경상북도 울진군 울진읍 읍내리 219번지 6호 킴스동물병원 ,2019-01-16,2
342 울진군,소담동물병원,경상북도 울진군 평해읍 평해리 462번지 4호  ,2021-01-22,0
343 울진군,魏동물병원,경상북도 울진군 울진읍 연지리 828번지  ,2021-04-22,1
344 울진군,영덕울진축산농협 동물병원,경상북도 울진군 매화면 매화리 408번지  ,2021-07-01,1
345 울릉군,우산동물병원,경상북도 울릉군 서면 남양리 608번지 5호  ,2019-01-25,1
