식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
522257,혼다라멘&메밀&돈까스&돈부리(수영점),부산광역시 수영구,N,N,N,N,N,N,,,N,N,Y,,,,,,,,N,N,N,,,
522358,삼삼횟집,부산광역시 해운대구,Y,Y,N,N,Y,Y,,매일 12:00~22:00,N,N,N,전화예약,,,,,,,N,N,N,,,
522379,헤이지 문,부산광역시 해운대구,Y,Y,N,N,N,N,,매일 12:00~24:00,N,N,N,,,,"송정해수욕장, 죽도공원",35.1794305,129.199575,528.879116,N,N,N,,,
522537,바우네나주곰탕(장산역점),부산광역시 해운대구,N,N,N,N,N,N,,매일 10:30~21:30,N,N,N,,,http://www.mgh365.co.kr,,,,,N,N,N,,,
522856,팥당,부산광역시 기장군,N,Y,N,N,Y,Y,,매일 09:30~22:00,N,N,Y,,,,일광해수욕장,35.2632382,129.233837,329.56788,N,N,N,,,
522976,크라운호프(광안해변로점),부산광역시 수영구,N,N,N,N,N,N,,매일 17:00~02:00,N,N,N,,,,민락수변공원,35.1582645,129.131484,372.480285,N,N,N,,,
523299,테스타르도(TESTARDO),부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
523336,수미가,부산광역시 수영구,Y,Y,N,N,N,N,일요일,"매일 11:00~21:00, 매일 15:00~16:00",N,N,Y,전화예약,,"https://www.instagram.com/soomiga,https://m.blog.naver.com/evergreen995",광안리 해수욕장,35.1537687,129.118499,536.84086,N,Y,Y,,,
523397,소문난팥빙수(광안점),부산광역시 수영구,N,N,N,N,N,N,,매일 10:00~23:00,N,N,N,,,,,,,,N,N,N,,,
523558,장모족발(해운대점),부산광역시 해운대구,Y,Y,N,N,N,Y,,매일 04:00~01:30,N,N,Y,전화예약,,,,,,,N,N,N,,,
523576,카페 시드니,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
523639,카페라솔,부산광역시 수영구,N,N,N,N,Y,N,,매일 11:00~16:00,N,N,Y,전화예약,,https://www.instagram.com/nam_yeon_kim___/,,,,,N,N,N,,,
523720,로뎀나무아래,부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
523730,카페루시,부산광역시 해운대구,Y,Y,N,N,N,N,일요일,,N,N,Y,,,http://www.instagram.com/cafelucy/,,,,,N,N,N,,,
523749,강바다꿀돼지고기먹고대박,부산광역시 기장군,N,N,N,N,Y,N,,"매일 11:30~23:00, 일요일 15:00~23:00",N,N,N,,,,일광해수욕장,35.2632382,129.233837,246.23555,N,N,N,,,
523959,박갈비,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
524013,스시정원,부산광역시 해운대구,Y,N,N,N,N,N,월요일,"매일 11:30~22:00, 매일 15:00~17:00",N,N,N,전화예약,,"http://www.sushijeongwon.com/,https://sushijeongwon.modoo.at/",,,,,N,N,N,,,
524078,힘쎈민물장어,부산광역시 해운대구,N,N,N,N,N,N,연중무휴,매일 11:30~22:30,N,N,Y,전화예약,,https://himssen1.modoo.at,,,,,N,Y,Y,,,
524290,투썸플레이스,부산광역시 해운대구,Y,N,N,N,N,N,,"매일 08:00~21:00, 일요일 09:00~19:00",N,N,N,,,,해운대해수욕장,35.1590427,129.160115,493.751447,N,N,N,,,
524480,맥도날드,부산광역시 해운대구,N,N,N,N,Y,N,,매일 00:00~24:00,N,N,N,,,http://www.mcdonalds.co.kr/,해운대해수욕장,35.1590427,129.160115,131.505077,N,N,N,,,
524809,써브웨이(부산광안비치점),부산광역시 수영구,N,Y,N,N,Y,N,,매일 08:00~23:00,N,N,N,,,"http://www.subway.co.kr/,http://www.facebook.com/subwaykr,https://www.instagram.com/subwaykorea",광안리 해수욕장,35.1537687,129.118499,182.678294,N,N,N,,,
524849,더벤티(고신대학병원점),부산광역시 서구,N,Y,N,N,N,N,,매일 08:00~22:00,N,N,N,,,"http://theventi.co.kr/,https://www.facebook.com/theventikr,https://www.instagram.com/theventi/",송도해수욕장,35.075812,129.016799,533.763965,N,N,N,,,
525244,마이반,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,달맞이동산지구,35.158846,129.183148,348.011423,N,N,N,,,
525373,하가원,부산광역시 수영구,N,N,N,N,Y,Y,,,N,N,Y,전화예약,,,,,,,N,N,N,,,
525475,모이락,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,Y,,,,달맞이동산지구,35.158846,129.183148,595.557191,N,N,N,,,
525476,남면초장횟집,부산광역시 사하구,N,N,N,N,Y,N,화요일,매일 10:00~23:00,N,N,N,전화예약,,,,,,,N,N,N,,,
525582,한우반근집(해운대점),부산광역시 해운대구,Y,Y,N,N,N,Y,,"매일 17:00~24:00, 공휴일 17:00~24:00",N,N,Y,전화예약,,,해운대해수욕장,35.1590427,129.160115,304.313059,N,Y,Y,40,,
525583,원산식당,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,해운대해수욕장,35.1590427,129.160115,304.313059,N,N,N,,,
525657,미스티(Misty),부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
525677,새둥지,부산광역시 수영구,N,Y,N,N,N,N,월요일,매일 11:00~20:30,N,N,N,전화예약,,,,,,,N,N,N,,,
525802,진아식당,부산광역시 사하구,N,N,N,N,N,N,,,N,N,N,,,,다대포 해수욕장,35.0463817,128.968006,435.622554,N,N,N,,,
525831,동원식당,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
525919,매운꽃게찜,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,Y,,,,,,,,N,N,N,,,
525966,베아트리스 푸드,부산광역시 해운대구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
526017,루이스런치(Louis Lunch),부산광역시 수영구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
