식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
219393,옥정,전라남도 목포시,200,200,N,N,N,N,Y,N,,매일 12:00~21:30,N,N,N,N,레드테이블,,갓바위 문화타운,34.79368,126.421,445.861655,N,N,N,,운영중
219394,뜰에서,전라남도 목포시,40,0,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
219396,김밥나라북항점,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,노을공원,34.80896,126.3658,461.24575,N,N,N,,운영중
219397,수타홍차이,전라남도 목포시,24,0,N,N,N,N,Y,N,,,N,N,Y,N,,,목포 관광특구,34.81188,126.3923,449.69783,N,N,N,,운영중
219398,본죽 목포하당점,전라남도 목포시,36,0,Y,N,N,N,Y,N,,"매일 10:00~21:00, 일요일 10:00~20:00",N,N,Y,N,,https://www.bonif.co.kr/menu/list?brdCd=BF101,장미의거리,34.80222,126.4258,379.126031,N,N,N,,운영중
219400,봉평모밀,전라남도 목포시,84,0,N,N,N,N,Y,N,,,N,N,Y,N,,,노을공원,34.80896,126.3658,644.26999,N,N,N,,운영중
219402,다순구미감자탕,전라남도 목포시,48,44,N,N,N,N,Y,N,월요일,매일 11:00~02:00,N,N,Y,N,,,멜라콩다리 비석,34.7939,126.3879,637.591929,Y,N,N,,운영중
219404,신흥회식당,전라남도 목포시,16,8,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
219405,보쌈마을,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,노을공원,34.80896,126.3658,521.782158,N,N,N,,운영중
219406,이바돔감자탕 목포점,전라남도 목포시,48,124,Y,Y,Y,N,Y,Y,,매일 00:00~24:00,N,N,Y,전화예약,,"http://www.ebadom.com/,http://ebadommokpo.modoo.at",목포 종합수산시장,34.7877803,126.38989,696.354369,N,N,N,,운영중
219407,다복,전라남도 목포시,32,36,N,Y,N,N,Y,Y,,매일 09:00~22:00,N,N,Y,N,레드테이블,,장미의거리,34.80222,126.4258,630.36482,N,N,N,,운영중
219409,유달콩물(평화광장점),전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,목포평화광장,34.79666,126.4338,219.521545,N,N,N,,운영중
219416,코돈부르,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 10:30~21:00,N,N,N,N,,,목포시립도서관,34.80355,126.4031,290.961266,N,N,N,,운영중
219417,빵드밀(목포점),전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,장미의거리,34.80222,126.4258,463.972608,N,N,N,,운영중
219420,넝쿨식당,전라남도 목포시,0,50,N,N,N,N,Y,N,일요일,매일 08:00~20:00,N,N,N,N,,,목포 관광특구,34.81188,126.3923,252.887663,N,N,N,,운영중
219422,샘물바위섬,전라남도 목포시,24,0,N,N,N,N,Y,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
219424,동아리석현점,전라남도 목포시,42,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 종합수산시장,34.7877803,126.38989,569.161719,N,N,N,,운영중
219427,투다리 그린점,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,http://www.tudari.co.kr/,장미의거리,34.80222,126.4258,706.488241,N,N,N,,운영중
219438,네네치킨 하당1점,전라남도 목포시,8,0,N,N,N,N,Y,N,,평일 12:00~24:00,N,N,Y,N,,http://0612859997.bdp.kr,장미의거리,34.80222,126.4258,617.223491,N,N,N,,운영중
219439,한국추어탕,전라남도 목포시,120,0,Y,N,N,N,Y,Y,일요일,매일 11:00~22:00,N,Y,Y,전화예약,레드테이블,"https://blog.naver.com/jolieseo,http://www.instagram.com/koreachueotang",목포 종합수산시장,34.7877803,126.38989,645.67282,N,N,N,,운영중
219446,흑산동인수산,전라남도 목포시,32,8,N,N,N,N,Y,N,,,N,N,N,N,,"http://smartstore.naver.com/dongin_8939,http://www.instagram.com/dongin_8939",갓바위 문화타운,34.79368,126.421,427.480752,N,N,N,,운영중
219448,할매왕족발보쌈,전라남도 목포시,0,0,N,N,N,N,Y,N,,매일 12:00~24:00,N,N,N,N,,,목포 관광특구,34.81188,126.3923,596.07387,N,N,N,,운영중
219449,신미정,전라남도 목포시,40,0,Y,N,N,N,Y,Y,,매일 09:00~22:00,N,N,N,N,,,멜라콩다리 비석,34.7939,126.3879,418.147439,N,N,N,,운영중
219454,신청호식당,전라남도 목포시,20,8,N,N,N,N,Y,N,,,N,N,N,N,,,목포 종합수산시장,34.7877803,126.38989,0.003328,N,N,N,,운영중
219455,흑산썸수산,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,멜라콩다리 비석,34.7939,126.3879,550.329037,N,N,N,,운영중
219456,도원회수산,전라남도 목포시,0,0,Y,N,N,N,Y,N,,매일 11:30~22:00,N,N,N,전화예약,,,갓바위 문화타운,34.79368,126.421,365.690178,N,N,N,,운영중
219457,우리강다슬기 목포점,전라남도 목포시,72,0,N,N,N,N,Y,N,,,N,N,N,N,,,갓바위 문화타운,34.79368,126.421,618.989059,N,N,N,,운영중
219460,희봉이네수산,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,Y,N,,,장미의거리,34.80222,126.4258,330.031056,N,N,N,,운영중
219463,조마루감자탕,전라남도 목포시,0,76,N,N,N,N,Y,N,화요일,매일 10:00~22:00,N,N,Y,N,레드테이블,,갓바위 문화타운,34.79368,126.421,457.044962,N,N,N,,운영중
219464,신금호횟집,전라남도 목포시,9,4,N,N,N,N,Y,N,,,N,N,N,N,,,목포평화광장,34.79666,126.4338,444.498535,N,N,N,,운영중
219465,갯내음,전라남도 목포시,68,24,N,N,N,N,Y,N,,매일 11:30~21:30,N,N,Y,N,,,장미의거리,34.80222,126.4258,284.578341,N,N,N,,운영중
219466,달빛선어횟집,전라남도 목포시,60,20,N,N,N,N,Y,N,,매일 10:00~22:00,N,N,N,N,,http://itvplus.co.kr/home6/dalbit/,멜라콩다리 비석,34.7939,126.3879,301.702085,N,N,N,,운영중
219467,해남맛집,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,노을공원,34.80896,126.3658,990.539568,N,N,N,,운영중
219468,신안진애식당,전라남도 목포시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,목포 관광특구,34.81188,126.3923,774.787337,N,N,N,,운영중
219469,깨순이김밥 연산점,전라남도 목포시,20,0,N,N,N,N,Y,N,,,N,N,Y,N,,,목포 관광특구,34.81188,126.3923,940.576924,N,N,N,,운영중
219471,포미식당식육점,전라남도 목포시,0,60,Y,Y,N,N,Y,Y,일요일,평일 12:00~21:00,N,Y,Y,N,,,목포시립도서관,34.80355,126.4031,356.578687,N,N,N,,운영중
219472,맛나김밥,전라남도 목포시,26,0,N,N,N,N,Y,N,,,N,N,N,N,,,장미의거리,34.80222,126.4258,715.529738,N,N,N,,운영중
219473,어머니 밥상,전라남도 목포시,20,32,N,N,N,N,Y,N,,,N,N,Y,N,,,장미의거리,34.80222,126.4258,732.81926,N,N,N,,운영중
