식당(ID),식당명,지역명,입식좌석수,좌식좌석수,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,대표메뉴명,식당상태
671293,풍년제과,전라북도 전주시,0,0,N,N,N,N,Y,N,,,N,N,N,N,레드테이블,,호남제일문,35.86935,127.0709,545.973966,N,N,N,,운영중
671405,노랑통닭 서곡지구점,전라북도 전주시,30,0,Y,N,N,N,Y,N,,매일 15:00~01:00,N,N,Y,전화예약,레드테이블,http://dangoljip.com/_Store/?code=156,황강서원,35.82904,127.1031,451.750651,N,N,N,,운영중
671623,부대통령뚝배기 전주대점,전라북도 전주시,0,0,N,N,N,N,Y,N,,매일 11:00~19:00,N,N,Y,N,,,전주대학교 박물관,35.81416,127.0901,386.290357,N,N,N,,운영중
671687,가만히숨은찻집,전라북도 전주시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,객사길,35.81762,127.1437,91.821486,N,N,N,,운영중
671947,써니네집,전라북도 전주시,63,0,Y,Y,N,N,Y,Y,,매일 11:30~22:00,N,Y,Y,N,레드테이블,http://www.instagram.com/ssuninejib_pyeonghwa/,,,,,N,N,N,,운영중
672709,한여사김치부대찌개,전라북도 전주시,22,0,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,,황강서원,35.82904,127.1031,283.109251,N,N,N,,운영중
672751,이자카야 고양이,전라북도 전주시,36,0,N,Y,N,N,Y,Y,,매일 18:00~03:00,N,N,Y,전화예약,레드테이블,http://www.instagram.com/izakaya_goyangi,,,,,N,N,N,,운영중
672892,피자애안골직영점,전라북도 전주시,26,0,N,N,N,N,Y,N,연중무휴,매일 11:00~22:00,N,N,Y,N,레드테이블,"http://0632441224.bdp.kr,http://instagram.com/pizza_angol_",약수암(전주),35.84509,127.1584,740.31811,N,N,N,,운영중
672951,홍금수산,전라북도 전주시,350,0,N,N,N,N,Y,N,,,N,N,Y,N,레드테이블,,객사길,35.81762,127.1437,81.434405,N,N,N,,운영중
673386,다가생구이 본점,전라북도 전주시,0,36,Y,Y,N,N,Y,N,,매일 17:00~02:00,N,N,N,전화예약,레드테이블,,객사길,35.81762,127.1437,262.130549,N,N,N,,운영중
673985,지리산운봉흙돼지,전라북도 전주시,36,16,N,Y,N,N,N,N,"일요일, 설날, 추석",,N,N,N,N,,,,,,,N,N,N,"흑돼지 삼겹살, 김치찌개, 짜글이",운영중
674026,육회공작소 전북대점,전라북도 전주시,84,0,N,N,N,N,Y,N,,매일 11:00~21:00,N,N,Y,N,레드테이블,,덕진공원,35.8475,127.121,541.132665,N,N,N,,운영중
674238,시장골목집 전북대점,전라북도 전주시,52,0,N,N,N,N,Y,N,,매일 17:00~04:00,N,N,Y,N,레드테이블,,덕진공원,35.8475,127.121,489.681651,N,N,N,,운영중
674792,카페오푸스,전라북도 전주시,14,0,Y,N,N,N,Y,N,목요일,"평일 11:00~22:00, 토요일 11:00~22:00",N,N,N,N,레드테이블,http://instagram.com/cafe_opus,전주대학교 박물관,35.81416,127.0901,659.733595,N,N,N,,운영중
674922,바이드림,전라북도 전주시,0,0,N,Y,N,N,Y,Y,,매일 10:00~22:00,N,N,Y,N,레드테이블,,전주대학교 박물관,35.81416,127.0901,638.233724,N,N,N,,운영중
675695,주당공선생,전라북도 전주시,0,0,N,N,N,N,Y,N,,,N,N,N,N,,,전주대학교 박물관,35.81416,127.0901,262.988406,N,N,N,,운영중
675705,한방가마솥족발 중화산점,전라북도 전주시,40,0,N,N,N,N,Y,N,,매일 12:00~24:00,N,N,Y,N,레드테이블,,다가공원,35.8122,127.1198,627.0013,N,N,N,,운영중
675744,빠리브레드,전라북도 전주시,0,0,N,N,N,N,Y,N,월요일,,N,N,Y,N,,,객사길,35.81762,127.1437,58.597333,N,N,N,,운영중
675935,카페한채,전라북도 전주시,60,0,N,Y,N,Y,Y,N,월요일,매일 11:00~22:30,N,N,N,N,레드테이블,http://www.instagram.com/_one_house_,객사길,35.81762,127.1437,185.829364,N,N,N,,운영중
676450,피자애,전라북도 전주시,0,0,N,N,N,N,N,N,,,N,N,N,N,,,,,,,N,N,N,,운영중
676556,그린파티세리,전라북도 전주시,11,0,N,N,N,N,Y,N,화요일,매일 12:00~22:00,N,N,N,N,레드테이블,https://instagram.com/green_patisserie?utm_source=ig_profile_share&igshid=v6ktnly2t0yp,객사길,35.81762,127.1437,269.060381,N,N,N,,운영중
