식당(ID),식당명,지역명,주차가능여부,와이파이제공여부,놀이방유무,반려동물입장가능여부,다국어메뉴판제공여부,화장실정보내용,휴무일정보내용,영업시간내용,택배판매유무,배리어프리유무,배달서비스유무,예약방식명,온라인예약정보내용,홈페이지(URL),인근랜드마크명,인근랜드마크위도,인근랜드마크경도,인근랜드마크와거리,키오스크유무,모바일페이먼트유무,스마트오더유무,입식좌석수,좌식좌석수,대표메뉴명
639315,달쓴커피,광주광역시 동구,N,N,N,N,Y,N,,"평일 08:00~19:00, 토요일 12:00~19:00",N,N,Y,,,,금남로4가역,35.1507100,126.9147300,110.8710830,N,N,N,,,아메리카노
639466,성호꼬마김밥(본점),광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,모듬김밥
639467,살강,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,670.6089800,N,N,N,,,대인
639482,몽상,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
640080,동명뼈왕,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,전화예약,,http://www.makeus.net/29748,,,,,N,N,N,,,뼈해장국
640084,엄마한식,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
640425,용우동(광주충장로점),광주광역시 동구,N,N,N,N,Y,Y,,매일 11:00~22:00,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,430.9644100,N,N,N,,,용우동
640762,201호,광주광역시 동구,N,Y,N,N,Y,N,월요일,매일 16:00~03:00,N,N,N,,,http://instagram.com/_201ho_official,문화전당역(구도청),35.1464409,126.9198890,441.3111240,N,N,N,,,꽃도리탕
640936,나젤로,광주광역시 동구,N,Y,N,N,Y,Y,,"일요일 12:00~22:00, 평일 10:00~22:00",N,N,N,전화예약,,http://blog.naver.com/happylovey27,,,,,N,N,N,,,칠리로제
641580,카페버번,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,토마토쥬스
641709,아귀와전복,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
641751,스모키 립스,광주광역시 동구,N,Y,N,N,Y,Y,,매일 11:30~23:00,N,N,N,전화예약,,,,,,,N,N,N,,,2인 텍사스 바비큐 플래터
641957,베들레헴 베이킹 스튜디오,광주광역시 동구,N,N,N,N,Y,N,,"화요일 08:30~17:00, 수요일 08:30~17:00, 금요일 08:30~17:00",Y,N,N,,,"https://www.instagram.com/b_b_macaron/,http://blog.naver.com/bbmacaron45",문화전당역(구도청),35.1464409,126.9198890,476.0661440,N,N,N,,,마카롱
641980,뜸,광주광역시 동구,N,N,N,N,Y,N,월요일,,N,N,Y,,,http://94498698.modoo.at,인당국악사,35.1453096,126.9215580,669.7828330,N,N,N,,,김치삼겹덮밥
642108,낭만공작소,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
642445,사라,광주광역시 동구,N,N,N,N,N,N,,,N,N,N,,,,,,,,N,N,N,,,
642966,베비에르(문화의전당점),광주광역시 동구,N,N,N,N,Y,N,,매일 10:00~22:30,N,N,N,,,,문화전당역(구도청),35.1464409,126.9198890,212.9408440,N,N,N,,,아메리카노
643070,진미소머리국밥,광주광역시 동구,N,N,N,N,Y,N,,,N,N,N,,,,,,,,N,N,N,,,소머리국밥
