region,city,place_type,company_name,call_num,_address,open_time,dayoff
서울특별시,,식당,카페평화,,,매일 10:30~22:00,월요일
서울특별시,,식당,어머이밥상,,,,
서울특별시,,식당,코버커피,,,평일 08:00~20:00,일요일
서울특별시,,식당,구운,,,매일 18:00~02:00,일요일
서울특별시,,식당,테이트 커피,,,매일 08:00~23:00,
서울특별시,,식당,베란다,,,매일 11:30~22:00,일요일
서울특별시,,식당,약초원,,,,
서울특별시,,식당,팬케이크샵,,,,월요일
서울특별시,,식당,카모그라프카페,,,매일 10:30~11:00,
서울특별시,,식당,사치,,,매일 11:00~23:00,
서울특별시,,식당,로즈드마이,,,매일 12:00~23:00,
서울특별시,,식당,커피 테르미니,,,매일 08:00~22:00,
서울특별시,,식당,이런씨불닭발,,,,일요일
서울특별시,,식당,카페로찌,,,"평일 08:50~22:00, 주말 10:00~22:00",
서울특별시,,식당,핀란드프로젝트,,,,월요일
서울특별시,,식당,카페에이빈,,,,
서울특별시,,식당,17그램,,,"평일 08:00~20:00, 토요일 10:00~15:00",
서울특별시,,식당,진저키친,,,,화요일
서울특별시,,식당,플랫랜드,,,,"월요일, 공휴일"
서울특별시,,식당,엔터하츠,,,"평일 08:00~22:00, 공휴일 08:00~22:00, 주말 08:00~22:00",
서울특별시,,식당,넵타임커피,,,"평일 08:00~20:00, 주말 10:00~19:00",공휴일
서울특별시,,식당,da Pitta Signature,,,매일 11:30~22:00,
서울특별시,,식당,다눔카페,,,,
서울특별시,,식당,모카하라,,,"평일 12:00~22:00, 주말 12:00~23:00",
서울특별시,,식당,카페샬롬,,,,
서울특별시,,식당,그레인 ,,,,수요일
서울특별시,,식당,바아,,,,
서울특별시,,식당,어라운드데이,,,,
서울특별시,,식당,플로,,,,
서울특별시,,식당,로맨티카,,,매일 11:00~22:00,연중무휴
서울특별시,,식당,찰스커피컴퍼니,,,"평일 10:00~19:00, 토요일 12:00~20:00",일요일
서울특별시,,식당,마우디,,,"평일 11:30~21:30, 주말 11:30~21:30",
서울특별시,,식당,공그로트,,,매일 09:00~24:00,
서울특별시,,식당,행복커피,,,"평일 07:00~21:00, 토요일 11:00~21:00",일요일
서울특별시,,식당,카페 알틴,,,"평일 08:30~21:30, 일요일 10:00~18:00",
서울특별시,,식당,레이첼티 카페,,,"평일 10:00~18:30, 공휴일 11:00~17:00",
서울특별시,,식당,카오여여,,,,월요일
서울특별시,,식당,카페아몽,,,매일 10:00~22:00,
서울특별시,,식당,오바도즈,,,"매일 12:00~22:00, 일요일 12:00~21:30",
서울특별시,,식당,커피냅로스터스(연남동점),,,매일 09:00~21:00,연중무휴
서울특별시,,식당,카페개인,,,,연중무휴
서울특별시,,식당,카페1953위드오드리,,,매일 10:00~23:00,연중무휴
서울특별시,,식당,세곡포차,,,매일 00:00~24:00,
서울특별시,,식당,시엠프레꼬모도밍고,,,,월요일
서울특별시,,식당,리엔,,,"평일 10:00~22:00, 주말 11:00~21:00",
서울특별시,,식당,하와이서울,,,,월요일
서울특별시,,식당,율리카페,,,,일요일
서울특별시,,식당,복래찬합,,,매일 11:00~20:00,일요일
서울특별시,,식당,명태작업실,,,매일 17:00~02:00,
서울특별시,,식당,티알브이알카페,,,"평일 09:00~20:30, 주말 10:00~20:30",
서울특별시,,식당,팔레드신,,,"매일 11:30~22:00, Time 15:00~17:30",
서울특별시,,식당,미드데이썬,,,,월요일
서울특별시,,식당,남미플랜트랩,,,"평일 12:00~16:00, 평일 17:30~21:00",
서울특별시,,식당,카페그린,,,"평일 09:30~21:00, 토요일 12:00~21:00",
서울특별시,,식당,지니스,,,매일 17:00~02:00,
서울특별시,,식당,더모놀로그하우스,,,,
서울특별시,,식당,카페림,,,"평일 09:00~22:00, 주말 10:00~22:00",
서울특별시,,식당,새실정원,,,매일 11:30~21:00,
서울특별시,,식당,카페문나잇,,,,화요일
서울특별시,,식당,소버바이데일리샷,,,"평일 16:00~22:00, 토요일 16:00~22:00",일요일
서울특별시,,식당,리본윈도우,,,매일 11:30~21:00,월요일
서울특별시,,식당,에이치플레이스,,,매일 11:00~00:00,
서울특별시,,식당,해피해피 브레드,,,,
서울특별시,,식당,파크피프틴,,,"평일 08:00~18:00, 주말 12:00~17:00",
서울특별시,,식당,파사드 인 파사드,,,"평일 11:30~20:50, 토요일 12:00~20:50",일요일
서울특별시,,식당,라코즈,,,"평일 12:00~23:00, 주말 12:00~23:00",
서울특별시,,식당,리필커피,,,"평일 08:00~20:00, 토요일 11:00~17:00",일요일
서울특별시,,식당,킵,,,매일 09:00~22:00,연중무휴
서울특별시,,식당,김판석초밥,,,매일 11:30~23:00,
서울특별시,,식당,카페거실,,,"매일 11:00~22:00, 일요일 13:00~21:00",
서울특별시,,식당,카페 코스테스,,,,
서울특별시,,식당,애즈유주얼,,,,
서울특별시,,식당,커피효과,,,,
서울특별시,,식당,카페페를,,,,일요일
서울특별시,,식당,로스트 피그,,,,
서울특별시,,식당,잇웰,,,,
서울특별시,,식당,달근프라페,,,매일 09:00~23:00,
서울특별시,,식당,바이엠,,,매일 10:30~22:30,
서울특별시,,식당,리틀방콕(고덕점),,,매일 11:00~22:00,
서울특별시,,식당,카페롱,,,"평일 09:00~22:00, 주말 10:00~22:00",
서울특별시,,식당,잭팟,,,,일요일
서울특별시,,식당,옐로우페탈,,,,일요일
서울특별시,,식당,코그노센티,,,,
서울특별시,,식당,소앤돼지,,,매일 16:00~24:00,
서울특별시,,식당,아이보리,,,매일 10:30~19:00,월요일
서울특별시,,식당,38 도씨식당,,,"평일 15:00~22:00, 주말 12:30~22:00",월요일
서울특별시,,식당,맘마미아,,,매일 10:00~23:00,연중무휴
서울특별시,,식당,봇봇봇,,,매일 11:00~22:00,월요일
서울특별시,,식당,헤베커피,,,"평일 11:00~21:00, 공휴일 12:00~21:00",
서울특별시,,식당,진심을담다,,,"평일 09:00~21:00, 토요일 10:00~21:00",일요일
서울특별시,,식당,하늘이네,,,,
서울특별시,,식당,장농속,,,"평일 17:00~02:00, 주말 12:00~02:00",연중무휴
서울특별시,,식당,반하다,,,,
서울특별시,,식당,체크인브런치카페,,,,
서울특별시,,식당,더 282,,,,
서울특별시,,식당,리틀파르크,,,"평일 09:00~21:00, 주말 10:00~21:00",화요일
서울특별시,,식당,히뽀1997,,,평일 10:00~20:30,
서울특별시,,식당,구월당,,,,
서울특별시,,식당,파인트리,,,,
서울특별시,,식당,309디저트카페,,,,일요일
서울특별시,,식당,원 테이블,,,평일 11:00~22:00,월요일
서울특별시,,식당,카페오뉴,,,,
서울특별시,,식당,히어로스터(신도림점),,,"평일 09:00~22:00, 주말 11:00~22:00",
서울특별시,,식당,달리,,,"주말 11:30~06:00, 평일 11:30~02:00",연중무휴
서울특별시,,식당,카페알코브,,,,월요일
서울특별시,,식당,어페어 커피,,,,월요일
서울특별시,,식당,악어,,,,
서울특별시,,식당,카츠레츠,,,"매일 11:30~21:00, 매일 15:00~17:00",목요일
서울특별시,,식당,쎈느,,,매일 09:00~22:00,
서울특별시,,식당,시니테이블,,,매일 16:00~00:00,
서울특별시,,식당,택스커피,,,매일 11:00~21:00,월요일
서울특별시,,식당,벤치커피스튜디오,,,,월요일
서울특별시,,식당,부부커피,,,매일 11:00~17:00,월요일
서울특별시,,식당,등초마라탕(마곡발산점),,,,
서울특별시,,식당,스페이스 헬레나,,,,
서울특별시,,식당,라파엘스,,,매일 06:30~23:00,
서울특별시,,식당,데클린 커피,,,매일 12:00~21:30,수요일
서울특별시,,식당,디저트솜,,,"평일 08:00~21:00, 토요일 10:00~19:00",일요일
서울특별시,,식당,스시모치,,,매일 11:30~22:00,
서울특별시,,식당,코앤엘리,,,,
서울특별시,,식당,카페드프랑,,,매일 11:00~20:00,
서울특별시,,식당,108커피,,,,
서울특별시,,식당,밀루앤라떼,,,매일 09:00~00:00,
서울특별시,,식당,카페혜윰,,,,
서울특별시,,식당,웨이크앤베이크,,,매일 11:00~22:00,
서울특별시,,식당,빌라드코스테스,,,,
서울특별시,,식당,동소문피스커피,,,"평일 12:00~22:00, 토요일 12:00~22:00",
서울특별시,,식당,헬로팔로워즈,,,"평일 09:30~19:00, 주말 11:00~18:00",목요일
서울특별시,,식당,파이드파이퍼,,,"평일 08:00~19:00, 토요일 12:00~19:00","일요일, 공휴일"
서울특별시,,식당,카페 스밍 스튜디오,,,"평일 09:00~22:00, 주말 10:00~22:00",
서울특별시,,식당,먼셀커피,,,,
서울특별시,,식당,공미학,,,,
서울특별시,,식당,라포레,,,,
